[828, 489]
[788, 451]
[774, 413]
[816, 520]
[687, 659]
[624, 424]
[1100, 704]
[912, 598]
[859, 594]
[891, 512]
[627, 571]
[771, 576]
[887, 624]
[697, 524]
[703, 461]
[600, 452]
[544, 610]
[620, 599]
[629, 738]
[862, 497]
[539, 521]
[703, 793]
[880, 444]
[760, 459]
[614, 800]
[553, 732]
[1111, 799]
[673, 440]
[660, 685]
[702, 431]
[850, 524]
[761, 795]
[702, 586]
[793, 483]
[653, 524]
[1053, 525]
[731, 797]
[745, 628]
[682, 607]
[1046, 412]
[911, 655]
[639, 623]
[942, 576]
[883, 714]
[932, 381]
[851, 467]
[762, 491]
[733, 573]
[1112, 578]
[539, 639]
[782, 543]
[917, 626]
[1133, 706]
[1160, 529]
[1095, 516]
[661, 737]
[834, 437]
[1144, 580]
[599, 620]
[707, 554]
[1065, 438]
[1150, 760]
[999, 531]
[1170, 620]
[925, 516]
[827, 545]
[961, 395]
[599, 520]
[598, 550]
[1049, 802]
[807, 423]
[667, 635]
[937, 546]
[722, 652]
[733, 441]
[917, 423]
[730, 473]
[940, 456]
[912, 568]
[564, 656]
[551, 490]
[677, 712]
[600, 677]
[1174, 588]
[817, 463]
[772, 383]
[954, 421]
[1137, 550]
[615, 710]
[1112, 606]
[884, 568]
[933, 806]
[1080, 805]
[1104, 488]
[880, 473]
[912, 686]
[588, 782]
[1019, 802]
[1119, 680]
[971, 450]
[644, 800]
[673, 793]
[593, 745]
[882, 685]
[942, 689]
[1167, 653]
[776, 613]
[631, 680]
[566, 759]
[713, 404]
[888, 415]
[983, 503]
[1166, 556]
[853, 624]
[570, 537]
[988, 798]
[859, 421]
[1014, 679]
[1093, 663]
[791, 793]
[1048, 744]
[846, 808]
[974, 573]
[1001, 561]
[1013, 503]
[1014, 417]
[1141, 792]
[753, 738]
[1019, 647]
[903, 798]
[677, 766]
[622, 648]
[569, 463]
[721, 610]
[1135, 734]
[857, 391]
[734, 502]
[643, 710]
[813, 739]
[548, 701]
[1004, 445]
[907, 484]
[1085, 463]
[1166, 735]
[649, 658]
[985, 687]
[1056, 656]
[938, 486]
[877, 537]
[648, 458]
[721, 738]
[598, 488]
[1150, 502]
[745, 401]
[1151, 679]
[721, 682]
[1080, 606]
[852, 770]
[1044, 496]
[783, 739]
[1051, 626]
[943, 647]
[765, 766]
[1109, 635]
[829, 605]
[537, 672]
[1052, 560]
[693, 686]
[913, 771]
[748, 597]
[873, 800]
[943, 775]
[818, 801]
[674, 503]
[990, 656]
[908, 455]
[571, 566]
[1074, 493]
[962, 807]
[1135, 652]
[1119, 768]
[596, 580]
[705, 496]
[1024, 469]
[996, 391]
[543, 582]
[752, 551]
[1000, 592]
[955, 513]
[1079, 543]
[626, 539]
[622, 474]
[942, 608]
[853, 654]
[645, 768]
[649, 594]
[902, 744]
[1030, 772]
[793, 364]
[1125, 519]
[593, 648]
[872, 743]
[1025, 610]
[972, 605]
[1137, 621]
[1080, 575]
[1106, 545]
[908, 538]
[1036, 441]
[1087, 770]
[684, 409]
[573, 597]
[995, 472]
[803, 657]
[969, 634]
[1071, 686]
[1001, 713]
[802, 565]
[1029, 577]
[795, 764]
[572, 685]
[1106, 740]
[707, 765]
[801, 595]
[545, 545]
[624, 507]
[677, 547]
[731, 534]
[1055, 468]
[1017, 741]
[750, 686]
[966, 477]
[982, 422]
[1054, 593]
[699, 632]
[708, 712]
[757, 523]
[973, 771]
[831, 574]
[804, 626]
[962, 668]
[692, 739]
[883, 656]
[798, 714]
[803, 393]
[776, 670]
[1059, 773]
[673, 472]
[1031, 714]
[739, 714]
[616, 766]
[736, 766]
[882, 772]
[831, 640]
[997, 624]
[1078, 636]
[803, 684]
[1044, 686]
[901, 386]
[844, 742]
[1059, 712]
[1079, 737]
[776, 640]
[930, 744]
[823, 767]
[855, 557]
[853, 684]
[769, 708]
[1000, 768]
[654, 417]
[571, 627]
[671, 577]
[1026, 542]
[830, 406]
[986, 740]
[786, 512]
[649, 489]
[827, 701]
[972, 713]
[941, 718]
[575, 504]
[854, 713]
[750, 657]
[958, 742]
[970, 542]
[913, 715]
[651, 553]
[829, 669]
[580, 715]
